vdw,elec,user,dyna,dcd,time,temp,tot,energy,volume,pressi,presse,path,title
2089.50513,-19820.06947,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.0,123.99657,-19651.0073,21868.28148,68921.0,-2136.84706,-3523.23539,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1963.2396,-18920.73548,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.1,61.18667,-19648.00719,20742.13126,68921.0,-2397.61194,-2643.53538,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1963.2396,-18920.73548,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.1,61.18038,-19648.11969,20742.13126,68921.0,-2397.68656,-2643.53538,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1895.51792,-18905.11199,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.2,56.02795,-19647.23873,20649.11584,68921.0,-3415.61839,-2997.11371,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1895.51792,-18905.11199,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.2,56.02795,-19647.23875,20649.11584,68921.0,-3415.6184,-2997.11371,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1939.18103,-19009.10282,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.3,64.89017,-19648.67574,20809.02481,68921.0,-3796.10522,-3553.09047,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1939.18103,-19009.10282,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.3,64.89017,-19648.6758,20809.02481,68921.0,-3796.10526,-3553.09047,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1957.06978,-19066.79525,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.4,68.38234,-19649.01795,20871.81313,68921.0,-4132.0621,-3155.997,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1957.06978,-19066.79525,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.4,132.72806,-18498.40472,20871.81313,68921.0,-3368.91252,-3155.997,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
1854.78576,-18532.62519,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.5,97.08674,-18496.57908,20232.65869,68921.0,-3788.26818,-2588.36584,/home/boittier/pcbach/sims4/mdcm/water/k325/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k325_dynamics.log
