0 CLA_0_2 -302.6046867001261 -319.9784509253887
1 CLA_0_3 -270.4994490122005 -301.75685258026016
2 CLA_1_2 -253.00973478773298 -276.84119994917023
3 CLA_1_3 -318.624142742009 -342.83232682851445
4 CLA_2_2 -261.59185678960455 -279.7761788126908
5 CLA_2_3 -326.26428381266044 -347.3180253591532
6 CLA_3_2 -164.03819994555874 -174.88325771710365
7 CLA_3_3 -214.37922744087632 -240.7217540442129
8 CLA_4_2 -169.90133334295257 -178.98404035764102
9 CLA_4_3 -233.7045850628649 -264.812098002465
10 CLA_5_2 -192.3000283431501 -215.75992844628584
11 CLA_5_3 -241.12066280624632 -266.54749111995875
12 CLA_6_2 -143.74050693376145 -153.41332304675925
13 CLA_6_3 -256.01735884097025 -274.22835901281144
14 CLA_7_2 -182.4525650179587 -186.72462778559114
15 CLA_7_3 -281.67943219010687 -308.96143591995695
16 CLA_8_2 -152.28204468310452 -159.42770392604154
17 CLA_8_3 -262.3583572160133 -293.1888402902352
18 CLA_9_2 -308.10965295986483 -334.0640184169686
19 CLA_9_3 -252.92492958993526 -277.942692600763
20 37_8_CLA_9_1 -151.97153490574726 -177.17487896217662
21 37_11_CLA_13_1 -130.0083504911497 -154.6612694518126
22 37_13_CLA_15_1 -181.79980034272418 -206.61892745918595
23 37_12_CLA_14_1 -164.1941210360049 -189.4166091454278
24 37_14_CLA_16_1 -156.4345233169795 -180.2324083210716
25 37_9_CLA_10_1 -132.59392582643412 -156.73694231197803
26 37_10_CLA_11_1 -151.75405776868212 -175.90214496988446
27 37_15_CLA_17_1 -177.37495801272223 -196.35837071032637
28 37_16_CLA_18_1 -165.1097606336016 -188.32159371106852
29 37_17_CLA_19_1 -157.02638277364937 -183.7707125224189
30 37_18_CLA_20_1 -141.35534590778568 -169.31832905540654
31 37_19_CLA_21_1 -163.33730000715994 -190.96640863860114
32 37_1_CLA_0_1 -173.99808735780275 -204.03665304491523
33 37_20_CLA_22_1 -141.19729677611397 -158.94292961477137
34 37_21_CLA_23_1 -171.04209977962756 -194.20464235138593
35 37_22_CLA_24_1 -178.44970417288295 -200.75316219299157
36 37_23_CLA_25_1 -139.29867836124674 -175.12429076064015
37 37_24_CLA_26_1 -145.96193245908697 -168.9790512679546
38 37_25_CLA_27_1 -148.53263936028404 -170.25414752890921
39 37_26_CLA_28_1 -155.77258235718108 -179.53590344271163
40 37_27_CLA_29_1 -163.63564692527052 -184.89160489103116
41 37_28_CLA_30_1 -137.31293486737374 -163.22690241798904
42 37_29_CLA_31_1 -190.03879473889987 -210.50702182678157
43 37_2_CLA_1_1 -163.45088391403115 -186.75619815418855
44 37_30_CLA_32_1 -167.28926964717675 -191.10042250818395
45 37_31_CLA_33_1 -167.68255117803423 -194.24024670481404
46 37_32_CLA_34_1 -194.34237317880695 -219.5193107672947
47 37_33_CLA_35_1 -148.66020995740726 -176.36301491414332
48 37_34_CLA_36_1 -191.71159877751538 -215.5148463390001
49 37_35_CLA_37_1 -183.09354500545177 -211.0348493287118
50 37_36_CLA_38_1 -151.1049495802888 -176.5788253003443
51 37_37_CLA_39_1 -174.9670598337973 -200.00076731108385
52 37_3_CLA_2_1 -174.47279002984547 -196.38260542619403
53 37_4_CLA_3_1 -145.23782435313066 -168.41503293292433
54 37_5_CLA_4_1 -147.41104299172272 -176.6031323989212
55 37_6_CLA_6_1 -166.5426541326781 -187.61998768046925
56 37_7_CLA_7_1 -195.2493229949888 -224.1952011818708
57 40_10_CLA_10_1 -157.18000723896455 -180.8691115302138
58 40_11_CLA_11_1 -177.13913233490527 -200.6439966306056
59 40_12_CLA_12_1 -152.79826042006263 -177.8750171067332
60 40_13_CLA_13_1 -149.2115698689693 -174.51522535406875
61 40_14_CLA_14_1 -177.24077597072613 -203.72854632151714
