idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47892.8599510037,56.007232078819065,12.170232434102218
1,0.909,0.909,86.45,-47894.4152799395,56.0107910936053,10.614903498302738
2,0.909,0.909,88.45,-47895.8010575647,56.01613992943081,9.229125873105659
3,0.909,0.909,90.45,-47897.0219274015,56.03248603759848,8.008256036300736
4,0.909,0.909,92.45,-47898.08259572241,56.04429475201393,6.9475877153963665
5,0.909,0.909,94.45,-47898.987643299304,56.061413525349614,6.042540138500044
6,0.909,0.909,96.45,-47899.741462653205,56.07641565989546,5.288720784599718
7,0.909,0.909,98.45,-47900.348446305106,56.08901946733784,4.68173713269789
8,0.909,0.909,100.45,-47900.8131122766,56.1086336042535,4.21707116120524
9,0.909,0.909,102.45,-47901.1397903384,56.13045796855826,3.890393099405628
10,0.909,0.909,104.45,-47901.33299851211,56.153467457652674,3.6971849256951828
11,0.909,0.909,106.45,-47901.3972548193,56.17384375963545,3.632928618506412
12,0.909,0.909,108.45,-47901.3372655325,56.205906303313256,3.692917905304057
13,0.909,0.909,110.45,-47901.1577996745,56.23438634903701,3.872383763300604
14,0.909,0.909,112.45,-47900.863814519005,56.27067303543467,4.16636891879898
15,0.909,0.909,114.45,-47900.4605183409,56.29509323868361,4.569665096903918
16,0.909,0.909,116.45,-47899.953244915705,56.32899537751626,5.076938522099226
17,0.909,0.909,118.45,-47899.347579020105,56.36439351112689,5.682604417699622
18,0.909,0.909,120.45,-47898.6494819326,56.399379897292896,6.380701505200705
19,0.909,0.909,122.45,-47897.864977682,56.438797738435895,7.1652057558021625
20,0.909,0.959,84.45,-47895.60019385441,55.923984196297255,9.4299895833974
21,0.909,0.959,86.45,-47897.04363900531,55.93166130846263,7.986544432496885
22,0.909,0.959,88.45,-47898.3229921217,55.93683069317727,6.707191316105309
23,0.909,0.959,90.45,-47899.442708474904,55.95288202950321,5.58747496290016
24,0.909,0.959,92.45,-47900.406992335,55.968714613235925,4.623191102800774
25,0.909,0.959,94.45,-47901.220173472706,55.979812055281805,3.8100099650982884
26,0.909,0.959,96.45,-47901.88633065751,55.994023812237145,3.1438527802965837
27,0.909,0.959,98.45,-47902.409542658905,56.0060924229009,2.620640778899542
28,0.909,0.959,100.45,-47902.79401374701,56.0327152837381,2.2361696907973965
29,0.909,0.959,102.45,-47903.04382269131,56.05635926593441,1.9863607464940287
30,0.909,0.959,104.45,-47903.1632992625,56.08747328882544,1.8668841753024026
31,0.909,0.959,106.45,-47903.156710481,56.11552907310189,1.8734729568022885
32,0.909,0.959,108.45,-47903.0284488678,56.14383243914121,2.001734570003464
33,0.909,0.959,110.45,-47902.783095194805,56.174686359707046,2.2470882429988706
34,0.909,0.959,112.45,-47902.4255439854,56.207244025068476,2.604639452401898
35,0.909,0.959,114.45,-47901.96056426241,56.238757206112616,3.0696191753959283
36,0.909,0.959,116.45,-47901.3934898013,56.27102749810869,3.6366936365011497
37,0.909,0.959,118.45,-47900.7297171279,56.30704423505217,4.30046630990546
38,0.909,0.959,120.45,-47899.9749565195,56.341392065504564,5.055226918302651
39,0.909,0.959,122.45,-47899.1351692546,56.383148162449565,5.895014183202875
40,0.909,1.009,84.45,-47895.2381246234,55.83640214473174,9.7920588144043
41,0.909,1.009,86.45,-47896.5702507421,55.842710783059744,8.459932695703174
42,0.909,1.009,88.45,-47897.7440578539,55.849266302149715,7.286125583901594
43,0.909,1.009,90.45,-47898.7634992277,55.86183351201986,6.2666842101025395
44,0.909,1.009,92.45,-47899.632590882706,55.875948888127176,5.397592555098527
45,0.909,1.009,94.45,-47900.3550978369,55.88742197867828,4.675085600902094
46,0.909,1.009,96.45,-47900.9349106089,55.907906231473696,4.095272828904854
47,0.909,1.009,98.45,-47901.37579421671,55.930943907748556,3.6543892210975173
48,0.909,1.009,100.45,-47901.6816391789,55.95152853477026,3.3485442589008017
49,0.909,1.009,102.45,-47901.856336014105,55.97941964276835,3.173847423699044
50,0.909,1.009,104.45,-47901.903775240906,56.01122076830207,3.12640819689841
51,0.909,1.009,106.45,-47901.8281611294,56.04021235270711,3.2020223084036843
52,0.909,1.009,108.45,-47901.63357244911,56.07839114227149,3.3966109886969207
53,0.909,1.009,110.45,-47901.324401721,56.11426159852444,3.7057817168024485
54,0.909,1.009,112.45,-47900.905229717006,56.14948254111263,4.124953720798658
