idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47944.40304742371,1.8623128975704581,11.47426885679306
1,0.909,0.909,86.45,-47945.94005327191,1.6471169805652106,9.937263008592709
2,0.909,0.909,88.45,-47947.305750801104,1.432148821134976,8.571565479396668
3,0.909,0.909,90.45,-47948.50497178441,1.2196250354256841,7.37234449609241
4,0.909,0.909,92.45,-47949.5427989961,1.0116344571197298,6.334517284398316
5,0.909,0.909,94.45,-47950.4241269596,0.8139402443956283,5.453189320898673
6,0.909,0.909,96.45,-47951.1538501983,0.638070905601363,4.723466082199593
7,0.909,0.909,98.45,-47951.7371142368,0.5091848592624825,4.14020204370172
8,0.909,0.909,100.45,-47952.1789390991,0.46757363445169525,3.698377181397518
9,0.909,0.909,102.45,-47952.4844075595,0.5315471689745577,3.3929087209980935
10,0.909,0.909,104.45,-47952.6586023923,0.6692340718870534,3.2187138882
11,0.909,0.909,106.45,-47952.7067318724,0.8438787358854855,3.1705844081006944
12,0.909,0.909,108.45,-47952.6340042747,1.0359513614517883,3.243312005797634
13,0.909,0.909,110.45,-47952.4455023735,1.2333874629333113,3.4318139070019242
14,0.909,0.909,112.45,-47952.1467481952,1.4326664480760736,3.730568085302366
15,0.909,0.909,114.45,-47951.743012765,1.6313116005860493,4.1343035155005055
16,0.909,0.909,116.45,-47951.239880859604,1.8268395841793,4.637435420896509
17,0.909,0.909,118.45,-47950.642937255696,2.018293601054734,5.234379024805094
18,0.909,0.909,120.45,-47949.9579549809,2.2058144867059193,5.919361299602315
19,0.909,0.909,122.45,-47949.190958064006,2.389199743814373,6.686358216495137
20,0.909,0.959,84.45,-47946.8917243217,2.4640037476777974,8.985591958800796
21,0.909,0.959,86.45,-47948.319042645504,2.242681120481796,7.558273634997022
22,0.909,0.959,88.45,-47949.5803864258,2.020691374499393,6.296929854703194
23,0.909,0.959,90.45,-47950.680336434496,1.8002850554128529,5.196979846004979
24,0.909,0.959,92.45,-47951.6234106932,1.5820950543915968,4.2539055872985045
25,0.909,0.959,94.45,-47952.41431547441,1.367057812860274,3.463000806092168
26,0.909,0.959,96.45,-47953.0577570506,1.1634391098762498,2.8195592299016425
27,0.909,0.959,98.45,-47953.558504444605,0.9751882648065151,2.318811835895758
28,0.909,0.959,100.45,-47953.92132667921,0.8160051650908423,1.9559896012942772
29,0.909,0.959,102.45,-47954.151118277805,0.7053105856821243,1.7261980026960373
30,0.909,0.959,104.45,-47954.252711013505,0.6637742847739558,1.6246052669957862
31,0.909,0.959,106.45,-47954.231062160005,0.7022845817633384,1.646254120496451
32,0.909,0.959,108.45,-47954.090940740105,0.8072156725624353,1.7863755403959658
33,0.909,0.959,110.45,-47953.8374295281,0.95528154841155,2.0398867523981608
34,0.909,0.959,112.45,-47953.4754857977,1.126132234900109,2.4018304827986867
