idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47704.874735773905,54.389989617953944,11.280872432202159
1,0.909,0.909,86.45,-47706.605138046696,54.40682702084049,9.550470159410906
2,0.909,0.909,88.45,-47708.1555097088,54.40426741605865,8.0000984973085
3,0.909,0.909,90.45,-47709.5297412788,54.40610940166735,6.62586692730838
4,0.909,0.909,92.45,-47710.7318487759,54.416889176479565,5.423759430210339
5,0.909,0.909,94.45,-47711.7659109696,54.426175770385775,4.389697236503707
6,0.909,0.909,96.45,-47712.6360693797,54.43144495961267,3.519538826403732
7,0.909,0.909,98.45,-47713.3465910266,54.44510653148896,2.8090171795047354
8,0.909,0.909,100.45,-47713.90193118161,54.45605312286178,2.2536770244987565
9,0.909,0.909,102.45,-47714.306796117206,54.462188367162135,1.848812088901468
10,0.909,0.909,104.45,-47714.5659548562,54.46055105687025,1.5896533499035286
11,0.909,0.909,106.45,-47714.6844274226,54.46409528574683,1.4711807835046784
12,0.909,0.909,108.45,-47714.667296590706,54.4950992614477,1.4883116154014715
13,0.909,0.909,110.45,-47714.51989613601,54.512212322413035,1.6357120700995438
14,0.909,0.909,112.45,-47714.247748084905,54.53555042936552,1.9078601212022477
15,0.909,0.909,114.45,-47713.856437214105,54.56076064987208,2.299170992002473
16,0.909,0.909,116.45,-47713.3518620518,54.58012893444855,2.803746154306282
17,0.909,0.909,118.45,-47712.7400466268,54.59553621921887,3.415561579306086
18,0.909,0.909,120.45,-47712.0272032188,54.60864454288629,4.128404987306567
19,0.909,0.909,122.45,-47711.2197951087,54.63187771987135,4.935813097406935
20,0.909,0.959,84.45,-47706.5273276747,54.29129193476154,9.628280531404016
21,0.909,0.959,86.45,-47708.149046427905,54.29163774192607,8.006561778202013
22,0.909,0.959,88.45,-47709.59638209741,54.292239283190334,6.559226108700386
23,0.909,0.959,90.45,-47710.872848700004,54.308980028348074,5.282759506102593
24,0.909,0.959,92.45,-47711.98221125371,54.32584064452166,4.173396952399344
25,0.909,0.959,94.45,-47712.9281092759,54.344656105862555,3.227498930209549
26,0.909,0.959,96.45,-47713.71449603551,54.3504849076212,2.4411121705998085
27,0.909,0.959,98.45,-47714.34551305231,54.34925203385691,1.8100951537999208
28,0.909,0.959,100.45,-47714.8254273467,54.35303904776316,1.3301808594042086
29,0.909,0.959,102.45,-47715.1586314397,54.362226554826336,0.9969767664078972
30,0.909,0.959,104.45,-47715.3498316038,54.393093169774126,0.8057766023048316
