idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47892.8599510037,8.985347702088825,12.170232434102218
1,0.909,0.909,86.45,-47894.4152799395,9.193829676725699,10.614903498302738
2,0.909,0.909,88.45,-47895.8010575647,9.257602425878819,9.229125873105659
3,0.909,0.909,90.45,-47897.0219274015,9.181477575127166,8.008256036300736
4,0.909,0.909,92.45,-47898.08259572241,8.973415054271534,6.9475877153963665
5,0.909,0.909,94.45,-47898.987643299304,8.627977082299719,6.042540138500044
6,0.909,0.909,96.45,-47899.741462653205,8.175822744038712,5.288720784599718
7,0.909,0.909,98.45,-47900.348446305106,7.641139461915933,4.68173713269789
8,0.909,0.909,100.45,-47900.8131122766,7.053639391317665,4.21707116120524
9,0.909,0.909,102.45,-47901.1397903384,6.456810151132916,3.890393099405628
10,0.909,0.909,104.45,-47901.33299851211,5.892268106479105,3.6971849256951828
11,0.909,0.909,106.45,-47901.3972548193,5.408039794462563,3.632928618506412
12,0.909,0.909,108.45,-47901.3372655325,5.050248736974211,3.692917905304057
13,0.909,0.909,110.45,-47901.1577996745,4.840666404335242,3.872383763300604
14,0.909,0.909,112.45,-47900.863814519005,4.791709945134479,4.16636891879898
15,0.909,0.909,114.45,-47900.4605183409,4.902500547123968,4.569665096903918
16,0.909,0.909,116.45,-47899.953244915705,5.154969825934568,5.076938522099226
17,0.909,0.909,118.45,-47899.347579020105,5.525450425804618,5.682604417699622
18,0.909,0.909,120.45,-47898.6494819326,6.006825105536141,6.380701505200705
19,0.909,0.909,122.45,-47897.864977682,6.602487928413224,7.1652057558021625
20,0.909,0.959,84.45,-47895.60019385441,8.319401797262213,9.4299895833974
21,0.909,0.959,86.45,-47897.04363900531,8.537501239777963,7.986544432496885
22,0.909,0.959,88.45,-47898.3229921217,8.62912653949138,6.707191316105309
23,0.909,0.959,90.45,-47899.442708474904,8.584244737791789,5.58747496290016
24,0.909,0.959,92.45,-47900.406992335,8.400023143086996,4.623191102800774
25,0.909,0.959,94.45,-47901.220173472706,8.086788177605143,3.8100099650982884
26,0.909,0.959,96.45,-47901.88633065751,7.659840380671117,3.1438527802965837
27,0.909,0.959,98.45,-47902.409542658905,7.1649428946316815,2.620640778899542
28,0.909,0.959,100.45,-47902.79401374701,6.622098712495581,2.2361696907973965
29,0.909,0.959,102.45,-47903.04382269131,6.079409214103189,1.9863607464940287
30,0.909,0.959,104.45,-47903.1632992625,5.583983706541959,1.8668841753024026
31,0.909,0.959,106.45,-47903.156710481,5.17821132738799,1.8734729568022885
32,0.909,0.959,108.45,-47903.0284488678,4.898745456493489,2.001734570003464
33,0.909,0.959,110.45,-47902.783095194805,4.776999703039434,2.2470882429988706
34,0.909,0.959,112.45,-47902.4255439854,4.813159974731328,2.604639452401898
35,0.909,0.959,114.45,-47901.96056426241,4.987582176019304,3.0696191753959283
36,0.909,0.959,116.45,-47901.3934898013,5.27671147141029,3.6366936365011497
37,0.909,0.959,118.45,-47900.7297171279,5.675700267904251,4.30046630990546
38,0.909,0.959,120.45,-47899.9749565195,6.161652764892137,5.055226918302651
39,0.909,0.959,122.45,-47899.1351692546,6.761998931705979,5.895014183202875
40,0.909,1.009,84.45,-47895.2381246234,7.683628543827511,9.7920588144043
41,0.909,1.009,86.45,-47896.5702507421,7.92329877705185,8.459932695703174
42,0.909,1.009,88.45,-47897.7440578539,8.033494795714557,7.286125583901594
43,0.909,1.009,90.45,-47898.7634992277,8.007776597005057,6.2666842101025395
44,0.909,1.009,92.45,-47899.632590882706,7.840774970302769,5.397592555098527
45,0.909,1.009,94.45,-47900.3550978369,7.559567752959846,4.675085600902094
46,0.909,1.009,96.45,-47900.9349106089,7.17827930578633,4.095272828904854
47,0.909,1.009,98.45,-47901.37579421671,6.726153567862816,3.6543892210975173
48,0.909,1.009,100.45,-47901.6816391789,6.237914082321517,3.3485442589008017
49,0.909,1.009,102.45,-47901.856336014105,5.7625896994507695,3.173847423699044
50,0.909,1.009,104.45,-47901.903775240906,5.337490514678559,3.12640819689841
51,0.909,1.009,106.45,-47901.8281611294,5.01825208242042,3.2020223084036843
52,0.909,1.009,108.45,-47901.63357244911,4.834402294060571,3.3966109886969207
53,0.909,1.009,110.45,-47901.324401721,4.800070424402142,3.7057817168024485
54,0.909,1.009,112.45,-47900.905229717006,4.906053085185333,4.124953720798658
55,0.909,1.009,114.45,-47900.3807627096,5.136305096530584,4.649420728201221
56,0.909,1.009,116.45,-47899.75602072281,5.456410801796468,5.274162714995327
57,0.909,1.009,118.45,-47899.036212031504,5.869854026796433,5.993971406300261
58,0.909,1.009,120.45,-47898.2267959118,6.3651105208643335,6.8033875260007335
59,0.909,1.009,122.45,-47897.3336081416,6.947184069734948,7.696575296205992
60,0.959,0.909,84.45,-47895.60019385441,8.729959712753052,9.4299895833974
61,0.959,0.909,86.45,-47897.04363900531,8.914003477660902,7.986544432496885
62,0.959,0.909,88.45,-47898.3229921217,8.971899172571607,6.707191316105309
63,0.959,0.909,90.45,-47899.442708474904,8.892616842779239,5.58747496290016
64,0.959,0.909,92.45,-47900.406992335,8.672079202734905,4.623191102800774
65,0.959,0.909,94.45,-47901.220173472706,8.324853825837607,3.8100099650982884
66,0.959,0.909,96.45,-47901.88633065751,7.864596781258343,3.1438527802965837
67,0.959,0.909,98.45,-47902.409542658905,7.322483150541764,2.620640778899542
68,0.959,0.909,100.45,-47902.79401374701,6.730648428415265,2.2361696907973965
69,0.959,0.909,102.45,-47903.04382269131,6.12988097807899,1.9863607464940287
70,0.959,0.909,104.45,-47903.1632992625,5.56646081094583,1.8668841753024026
71,0.959,0.909,106.45,-47903.156710481,5.081514879957147,1.8734729568022885
72,0.959,0.909,108.45,-47903.0284488678,4.719396036047515,2.001734570003464
73,0.959,0.909,110.45,-47902.783095194805,4.5055108024974775,2.2470882429988706
74,0.959,0.909,112.45,-47902.4255439854,4.456559115458029,2.604639452401898
75,0.959,0.909,114.45,-47901.96056426241,4.559828807695888,3.0696191753959283
76,0.959,0.909,116.45,-47901.3934898013,4.795537909855725,3.6366936365011497
77,0.959,0.909,118.45,-47900.7297171279,5.145943996382474,4.30046630990546
78,0.959,0.909,120.45,-47899.9749565195,5.603648742416708,5.055226918302651
79,0.959,0.909,122.45,-47899.1351692546,6.176777502280672,5.895014183202875
80,0.959,0.959,84.45,-47898.29406423341,8.04537051123788,6.736119204397255
81,0.959,0.959,86.45,-47899.6356656474,8.261501238690812,5.39451779040246
82,0.959,0.959,88.45,-47900.8183205515,8.346421654285857,4.211862886302697
83,0.959,0.959,90.45,-47901.8460449649,8.281520473087316,3.1841384729050333
84,0.959,0.959,92.45,-47902.7228549068,8.077519881302344,2.3073285310019855
85,0.959,0.959,94.45,-47903.452515395205,7.755286504550134,1.577668042598816
86,0.959,0.959,96.45,-47904.0390424493,7.333000252489411,0.9911409885025932
87,0.959,0.959,98.45,-47904.486138336804,6.828610988646086,0.5440451009999379
88,0.959,0.959,100.45,-47904.7977563266,6.282424671689944,0.2324271112011047
89,0.959,0.959,102.45,-47904.9777869373,5.7357299217708935,0.05239650050498312
90,0.959,0.959,104.45,-47905.030183437804,5.2354731503646805,0.0
91,0.959,0.959,106.45,-47904.9591500982,4.8279550911119,0.07103333960549207
92,0.959,0.959,108.45,-47904.768828438304,4.55218158631647,0.2613549995003268
93,0.959,0.959,110.45,-47904.4636109791,4.433782151561586,0.5665724587015575
94,0.959,0.959,112.45,-47904.04807849251,4.468039035456737,0.98210494529485
95,0.959,0.959,114.45,-47903.5270000013,4.635930765704908,1.5031834365072427
96,0.959,0.959,116.45,-47902.9054582798,4.910019641133753,2.1247251580061857
97,0.959,0.959,118.45,-47902.188598852605,5.290877481631103,2.8415845851995982
98,0.959,0.959,120.45,-47901.3820064964,5.759286795007143,3.6481769414021983
99,0.959,0.959,122.45,-47900.4915169891,6.321334700948151,4.538666448701406
100,0.959,1.009,84.45,-47897.889952301404,7.399393617694497,7.1402311363999615
101,0.959,1.009,86.45,-47899.1298982294,7.629954099855346,5.900285208401328
102,0.959,1.009,88.45,-47900.21623142301,7.718014086236011,4.813952014796087
103,0.959,1.009,90.45,-47901.15246589901,7.6754941977603695,3.8777175387949683
104,0.959,1.009,92.45,-47901.94236667541,7.509201464660977,3.08781676239596
105,0.959,1.009,94.45,-47902.58944776901,7.22054933233533,2.4407356687952415
106,0.959,1.009,96.45,-47903.097285946904,6.829747724351122,1.9328974909003591
107,0.959,1.009,98.45,-47903.469395225904,6.372293285805681,1.560788211900217
108,0.959,1.009,100.45,-47903.709415123405,5.87928474843962,1.3207683143991744
109,0.959,1.009,102.45,-47903.821047907106,5.398024229475069,1.2091355306984042
110,0.959,1.009,104.45,-47903.807995844705,4.97147221650757,1.222187593099079
111,0.959,1.009,106.45,-47903.67408670451,4.655865035266631,1.356096733295999
112,0.959,1.009,108.45,-47903.4234620063,4.476007190235119,1.6067214315044112
113,0.959,1.009,110.45,-47903.0601377693,4.44685228390225,1.97004566850228
114,0.959,1.009,112.45,-47902.58856926481,4.552550483888064,2.4416141729961964
115,0.959,1.009,114.45,-47902.0133372647,4.782709409979722,3.01684617310093
116,0.959,1.009,116.45,-47901.339210791804,5.094874076587883,3.6909726459998637
117,0.959,1.009,118.45,-47900.571209870104,5.4835467704905625,4.4589735677000135
118,0.959,1.009,120.45,-47899.71473102541,5.954615061212323,5.315452412396553
119,0.959,1.009,122.45,-47898.7752962841,6.518640697506489,6.2548871537073865
120,1.009,0.909,84.45,-47895.2381246234,8.527654287084447,9.7920588144043
121,1.009,0.909,86.45,-47896.5702507421,8.707856631027015,8.459932695703174
122,1.009,0.909,88.45,-47897.7440578539,8.74875629608783,7.286125583901594
123,1.009,0.909,90.45,-47898.7634992277,8.655875419588313,6.2666842101025395
124,1.009,0.909,92.45,-47899.632590882706,8.429988537139584,5.397592555098527
125,1.009,0.909,94.45,-47900.3550978369,8.071616791571115,4.675085600902094
126,1.009,0.909,96.45,-47900.9349106089,7.607322360007218,4.095272828904854
127,1.009,0.909,98.45,-47901.37579421671,7.062379447238959,3.6543892210975173
128,1.009,0.909,100.45,-47901.6816391789,6.472238656895496,3.3485442589008017
129,1.009,0.909,102.45,-47901.856336014105,5.874229220234643,3.173847423699044
130,1.009,0.909,104.45,-47901.903775240906,5.310687159444477,3.12640819689841
131,1.009,0.909,106.45,-47901.8281611294,4.823577725910329,3.2020223084036843
132,1.009,0.909,108.45,-47901.63357244911,4.458801943228624,3.3966109886969207
133,1.009,0.909,110.45,-47901.324401721,4.240420666631762,3.7057817168024485
134,1.009,0.909,112.45,-47900.905229717006,4.181206752985063,4.124953720798658
135,1.009,0.909,114.45,-47900.3807627096,4.267731434270868,4.649420728201221
136,1.009,0.909,116.45,-47899.75602072281,4.478864963216691,5.274162714995327
137,1.009,0.909,118.45,-47899.036212031504,4.800847630335534,5.993971406300261
138,1.009,0.909,120.45,-47898.2267959118,5.235641514583555,6.8033875260007335
139,1.009,0.909,122.45,-47897.3336081416,5.777678137936729,7.696575296205992
140,1.009,0.959,84.45,-47897.889952301404,7.854160538640177,7.1402311363999615
141,1.009,0.959,86.45,-47899.1298982294,8.04935704542897,5.900285208401328
142,1.009,0.959,88.45,-47900.21623142301,8.109144265800898,4.813952014796087
143,1.009,0.959,90.45,-47901.15246589901,8.025594044480352,3.8777175387949683
144,1.009,0.959,92.45,-47901.94236667541,7.825101800284092,3.08781676239596
145,1.009,0.959,94.45,-47902.58944776901,7.493598632516965,2.4407356687952415
146,1.009,0.959,96.45,-47903.097285946904,7.063127154913905,1.9328974909003591
147,1.009,0.959,98.45,-47903.469395225904,6.554207048123858,1.560788211900217
148,1.009,0.959,100.45,-47903.709415123405,6.003437020891098,1.3207683143991744
149,1.009,0.959,102.45,-47903.821047907106,5.458381600694289,1.2091355306984042
150,1.009,0.959,104.45,-47903.807995844705,4.959164361531268,1.222187593099079
151,1.009,0.959,106.45,-47903.67408670451,4.552760796415469,1.356096733295999
152,1.009,0.959,108.45,-47903.4234620063,4.279474988200138,1.6067214315044112
153,1.009,0.959,110.45,-47903.0601377693,4.153022740955464,1.97004566850228
154,1.009,0.959,112.45,-47902.58856926481,4.179926253987271,2.4416141729961964
155,1.009,0.959,114.45,-47902.0133372647,4.338985521100484,3.01684617310093
156,1.009,0.959,116.45,-47901.339210791804,4.59795704286405,3.6909726459998637
157,1.009,0.959,118.45,-47900.571209870104,4.950342031305849,4.4589735677000135
158,1.009,0.959,120.45,-47899.71473102541,5.383534127228203,5.315452412396553
159,1.009,0.959,122.45,-47898.7752962841,5.9258774815399615,6.2548871537073865
160,1.009,1.009,84.45,-47897.4474371858,7.188734135493705,7.582746252002835
161,1.009,1.009,86.45,-47898.5950146722,7.391854413801776,6.435168765601702
162,1.009,1.009,88.45,-47899.593748447,7.466256840668525,5.436434990806447
163,1.009,1.009,90.45,-47900.4469642761,7.417073011315079,4.583219161700981
164,1.009,1.009,92.45,-47901.1580506757,7.23842658943885,3.87213276210241
165,1.009,1.009,94.45,-47901.7302079111,6.944222097465755,3.2999755267010187
166,1.009,1.009,96.45,-47902.16676174821,6.545128512663382,2.8634216895952704
167,1.009,1.009,98.45,-47902.4709752026,6.081888213250339,2.5592082352013676
168,1.009,1.009,100.45,-47902.646236790504,5.584292549468868,2.3839466473000357
169,1.009,1.009,102.45,-47902.69593502811,5.1018006733280945,2.334248409693828
170,1.009,1.009,104.45,-47902.6237094328,4.679750794086586,2.4064740050016553
171,1.009,1.009,106.45,-47902.433074021406,4.3599389748843125,2.5971094163978705
172,1.009,1.009,108.45,-47902.1279193125,4.181328907859053,2.9022641253031907
173,1.009,1.009,110.45,-47901.7121358247,4.161317049430845,3.318047613101953
174,1.009,1.009,112.45,-47901.189927828105,4.270954385620273,3.840255609698943
175,1.009,1.009,114.45,-47900.5656878437,4.48246389640827,4.464495594103937
176,1.009,1.009,116.45,-47899.843933893106,4.77630877633119,5.186249544698512
177,1.009,1.009,118.45,-47899.0295604997,5.152927319251623,6.000622938103334
178,1.009,1.009,120.45,-47898.12777593841,5.596605710550441,6.90240749939403
179,1.009,1.009,122.45,-47897.1438512344,6.109570988584697,7.886332203401253
