idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47684.55894964711,1.176431126463422,12.226268451995566
1,0.909,0.909,86.45,-47686.3962784311,1.0495674756558084,10.388939668002422
2,0.909,0.909,88.45,-47688.039395036605,0.938200793765284,8.745823062497948
3,0.909,0.909,90.45,-47689.492566484005,0.8521854464950772,7.292651615098293
4,0.909,0.909,92.45,-47690.76012254401,0.8009263501793095,6.025095555094595
5,0.909,0.909,94.45,-47691.8465184879,0.791944306642072,4.938699611200718
6,0.909,0.909,96.45,-47692.756209587,0.8260836431265749,4.029008512101427
7,0.909,0.909,98.45,-47693.4937138629,0.9024873113944358,3.291504236200126
8,0.909,0.909,100.45,-47694.063737588105,1.0081842940503893,2.721480510997935
9,0.909,0.909,102.45,-47694.471112535706,1.1351833987074644,2.314105563396879
10,0.909,0.909,104.45,-47694.72085872971,1.2763158978326055,2.0643593693966977
11,0.909,0.909,106.45,-47694.8180589444,1.430004354453067,1.9671591547012213
12,0.909,0.909,108.45,-47694.768109705605,1.5939869954790824,2.017108393498347
13,0.909,0.909,110.45,-47694.57659579,1.760811227705692,2.2086223091027932
14,0.909,0.909,112.45,-47694.24922747491,1.9313069272753096,2.5359906241938006
15,0.909,0.909,114.45,-47693.7919660388,2.104559013579066,2.993252060303348
16,0.909,0.909,116.45,-47693.21114926201,2.277533640972524,3.574068837093364
17,0.909,0.909,118.45,-47692.5132404254,2.4493775481350215,4.271977673699439
18,0.909,0.909,120.45,-47691.70489106081,2.620732148515608,5.080327038296673
19,0.909,0.909,122.45,-47690.79319195211,2.791530764959595,5.992026146996068
20,0.909,0.959,84.45,-47686.3945214227,1.5978282246649897,10.390696676404332
21,0.909,0.959,86.45,-47688.1283122117,1.4370716130559826,8.65690588740108
22,0.909,0.959,88.45,-47689.67385210071,1.2831945357165895,7.11136599839665
23,0.909,0.959,90.45,-47691.0349061077,1.1432003092299916,5.750311991403578
24,0.909,0.959,92.45,-47692.215364751304,1.018609629734891,4.569853347798926
25,0.909,0.959,94.45,-47693.219055799804,0.9164271337616707,3.5661622992993216
26,0.909,0.959,96.45,-47694.05018352331,0.8501489504206161,2.735034575794998
27,0.909,0.959,98.45,-47694.712763941,0.8229013590188983,2.0724541581002995
28,0.909,0.959,100.45,-47695.211315074506,0.8437138367521021,1.5739030245968024
29,0.909,0.959,102.45,-47695.550166694506,0.9100347156116925,1.2350514045974705
30,0.909,0.959,104.45,-47695.734150574106,1.0144982424135758,1.0510675249970518
31,0.909,0.959,106.45,-47695.768098486406,1.1420063416427906,1.0171196126975701
32,0.909,0.959,108.45,-47695.6570304554,1.2880219391698569,1.1281876437060419
33,0.909,0.959,110.45,-47695.4063430069,1.4477766971287003,1.3788750922030886
34,0.909,0.959,112.45,-47695.021432666705,1.6148982220491601,1.7637854323984357
35,0.909,0.959,114.45,-47694.5081352127,1.7876174789173793,2.277082886401331
36,0.909,0.959,116.45,-47693.8724746737,1.9635326957543893,2.9127434254041873
37,0.909,0.959,118.45,-47693.1206005791,2.1421854199178956,3.66461752000032
38,0.909,0.959,120.45,-47692.259227211005,2.3217673621003367,4.525990888098022
39,0.909,0.959,122.45,-47691.29500610121,2.50058991728467,5.490211997894221
40,0.909,1.009,84.45,-47685.048339236804,2.219545698480976,11.736878862298909
41,0.909,1.009,86.45,-47686.6772115242,2.0526690495057944,10.10800657490472
42,0.909,1.009,88.45,-47688.1238569404,1.8875557882630156,8.661361158701766
43,0.909,1.009,90.45,-47689.3914130004,1.7304540707233824,7.393805098705343
44,0.909,1.009,92.45,-47690.4833309707,1.5831212454334052,6.301887128400267
45,0.909,1.009,94.45,-47691.4030621178,1.4464706219221908,5.382155981300457
46,0.909,1.009,96.45,-47692.15443421,1.3271098029335588,4.630783889100712
47,0.909,1.009,98.45,-47692.74114951501,1.2291291379126672,4.04406858409493
48,0.909,1.009,100.45,-47693.16728680231,1.1607395068029627,3.617931296794268
49,0.909,1.009,102.45,-47693.43705034201,1.1281045268449075,3.3481677570962347
50,0.909,1.009,104.45,-47693.55483265511,1.1325856156451177,3.230385443996056
51,0.909,1.009,106.45,-47693.52521451351,1.174582069498509,3.2600035855939495
52,0.909,1.009,108.45,-47693.353027690304,1.2512632613767318,3.432190408799215
53,0.909,1.009,110.45,-47693.043292209506,1.3557567549903393,3.7419258895970415
54,0.909,1.009,112.45,-47692.6013418466,1.4809546156612894,4.18387625250034
55,0.909,1.009,114.45,-47692.0325731274,1.624942106605425,4.752644971704285
56,0.909,1.009,116.45,-47691.3428218298,1.7794336214373794,5.442396269303572
57,0.909,1.009,118.45,-47690.5381747329,1.9434491162080247,6.247043366201979
58,0.909,1.009,120.45,-47689.6248441164,2.1128450007812747,7.160373982704186
