,r,g(r)
0.050505050505050504,0.050505050505050504,0.0
0.15151515151515152,0.15151515151515152,0.0
0.25252525252525254,0.25252525252525254,0.0
0.35353535353535354,0.35353535353535354,0.0
0.4545454545454546,0.4545454545454546,0.0
0.5555555555555556,0.5555555555555556,0.0
0.6565656565656566,0.6565656565656566,0.0
0.7575757575757576,0.7575757575757576,0.0
0.8585858585858586,0.8585858585858586,0.0
0.9595959595959596,0.9595959595959596,0.0
1.0606060606060606,1.0606060606060606,0.0
1.1616161616161618,1.1616161616161618,0.0
1.2626262626262625,1.2626262626262625,0.0
1.3636363636363638,1.3636363636363638,0.0
1.4646464646464645,1.4646464646464645,0.0
1.5656565656565657,1.5656565656565657,0.0
1.6666666666666665,1.6666666666666665,0.0
1.7676767676767677,1.7676767676767677,0.0
1.8686868686868685,1.8686868686868685,0.0
1.9696969696969697,1.9696969696969697,0.0
2.070707070707071,2.070707070707071,0.0
2.1717171717171717,2.1717171717171717,0.0
2.2727272727272725,2.2727272727272725,0.0
2.3737373737373737,2.3737373737373737,2.1006688031192153e-06
2.474747474747475,2.474747474747475,0.002746378934935105
2.5757575757575757,2.5757575757575757,0.2726876924340938
2.6767676767676765,2.6767676767676765,1.9037030733048566
2.7777777777777777,2.7777777777777777,3.2156055982427123
2.878787878787879,2.878787878787879,2.655680978789672
2.9797979797979797,2.9797979797979797,1.7122576829823157
3.0808080808080804,3.0808080808080804,1.155306558786413
3.1818181818181817,3.1818181818181817,0.9244392872606174
3.282828282828283,3.282828282828283,0.8512042420536783
3.383838383838384,3.383838383838384,0.8434462461681191
3.484848484848485,3.484848484848485,0.860874733369378
3.5858585858585856,3.5858585858585856,0.8889216375362103
3.686868686868687,3.686868686868687,0.9180781867872837
3.787878787878788,3.787878787878788,0.9446537258772534
3.888888888888889,3.888888888888889,0.9711556652015081
3.98989898989899,3.98989898989899,0.9957491002710652
4.090909090909091,4.090909090909091,1.0159022747490454
4.191919191919192,4.191919191919192,1.0281338717769826
4.292929292929292,4.292929292929292,1.0395412191323645
4.3939393939393945,4.3939393939393945,1.0422920567274558
4.494949494949495,4.494949494949495,1.042706828583351
4.595959595959595,4.595959595959595,1.0402567096611326
4.696969696969697,4.696969696969697,1.0357011478583178
4.797979797979798,4.797979797979798,1.030289918216964
4.8989898989899,4.8989898989899,1.0238143548048968
5.0,5.0,1.0166464857712523
5.1010101010101,5.1010101010101,1.0098210858805003
5.202020202020202,5.202020202020202,1.0011402837456682
5.303030303030303,5.303030303030303,0.9897260767299952
5.404040404040404,5.404040404040404,0.9795526123399257
5.505050505050505,5.505050505050505,0.9623471815244391
5.6060606060606055,5.6060606060606055,0.9422458544913568
5.707070707070708,5.707070707070708,0.9295822336277332
5.808080808080808,5.808080808080808,0.9254619436489778
5.909090909090908,5.909090909090908,0.9319388485796708
6.01010101010101,6.01010101010101,0.9457687887123865
6.111111111111111,6.111111111111111,0.9611198998547399
6.212121212121212,6.212121212121212,0.9792902802672551
6.313131313131313,6.313131313131313,0.996254000734668
6.4141414141414135,6.4141414141414135,1.009288207311061
6.515151515151516,6.515151515151516,1.0214143172539585
6.616161616161616,6.616161616161616,1.029931961908628
6.717171717171717,6.717171717171717,1.0365674727735745
6.818181818181818,6.818181818181818,1.038134177119028
6.919191919191919,6.919191919191919,1.0400245444067056
7.020202020202021,7.020202020202021,1.0372169511319653
7.121212121212121,7.121212121212121,1.03356473094709
7.222222222222221,7.222222222222221,1.0287382609588287
7.3232323232323235,7.3232323232323235,1.021514234685142
7.424242424242424,7.424242424242424,1.0151803874142193
7.525252525252525,7.525252525252525,1.0081546065053237
7.626262626262626,7.626262626262626,1.001763615792344
7.727272727272727,7.727272727272727,0.9965208729543998
7.828282828282829,7.828282828282829,0.9912095412115922
7.929292929292929,7.929292929292929,0.9882595732041048
8.030303030303031,8.030303030303031,0.9856592905235648
8.131313131313131,8.131313131313131,0.9861313528692545
8.232323232323232,8.232323232323232,0.9837282436587387
8.333333333333332,8.333333333333332,0.985425173368144
8.434343434343434,8.434343434343434,0.9872430419699987
8.535353535353536,8.535353535353536,0.9898914155162197
8.636363636363637,8.636363636363637,0.9925944168263986
8.737373737373737,8.737373737373737,0.9958304318552721
8.838383838383837,8.838383838383837,0.9988416239506364
8.93939393939394,8.93939393939394,1.0012398075675266
9.04040404040404,9.04040404040404,1.0025299779491506
9.141414141414142,9.141414141414142,1.003937136771153
9.242424242424242,9.242424242424242,1.0042330544217624
9.343434343434343,9.343434343434343,1.0049121362881044
9.444444444444445,9.444444444444445,1.0043764777720123
9.545454545454545,9.545454545454545,1.004582088368761
9.646464646464647,9.646464646464647,1.0039082900215077
9.747474747474747,9.747474747474747,1.002657413216901
9.848484848484848,9.848484848484848,1.0019292648661835
9.94949494949495,9.94949494949495,1.0015336496988048
