,r,g(r)
0.050505050505050504,0.050505050505050504,0.0
0.15151515151515152,0.15151515151515152,0.0
0.25252525252525254,0.25252525252525254,0.0
0.35353535353535354,0.35353535353535354,0.0
0.4545454545454546,0.4545454545454546,0.0
0.5555555555555556,0.5555555555555556,0.0
0.6565656565656566,0.6565656565656566,0.0
0.7575757575757576,0.7575757575757576,0.0
0.8585858585858586,0.8585858585858586,0.0
0.9595959595959596,0.9595959595959596,0.0
1.0606060606060606,1.0606060606060606,0.0
1.1616161616161618,1.1616161616161618,0.0
1.2626262626262625,1.2626262626262625,0.0
1.3636363636363638,1.3636363636363638,0.0
1.4646464646464645,1.4646464646464645,0.0
1.5656565656565657,1.5656565656565657,0.0
1.6666666666666665,1.6666666666666665,0.0
1.7676767676767677,1.7676767676767677,0.0
1.8686868686868685,1.8686868686868685,0.0
1.9696969696969697,1.9696969696969697,0.0
2.070707070707071,2.070707070707071,0.0
2.1717171717171717,2.1717171717171717,0.0
2.2727272727272725,2.2727272727272725,0.0
2.3737373737373737,2.3737373737373737,9.165300649687686e-06
2.474747474747475,2.474747474747475,0.011377528656822095
2.5757575757575757,2.5757575757575757,0.35555334850993664
2.6767676767676765,2.6767676767676765,1.6066781315126437
2.7777777777777777,2.7777777777777777,2.5403057310064696
2.878787878787879,2.878787878787879,2.4081897917418758
2.9797979797979797,2.9797979797979797,1.900408853861793
3.0808080808080804,3.0808080808080804,1.485959031615049
3.1818181818181817,3.1818181818181817,1.2299363761767719
3.282828282828283,3.282828282828283,1.0890552708789591
3.383838383838384,3.383838383838384,1.007493383272286
3.484848484848485,3.484848484848485,0.9644597878392729
3.5858585858585856,3.5858585858585856,0.942738763345463
3.686868686868687,3.686868686868687,0.9323711767347395
3.787878787878788,3.787878787878788,0.9298216566372935
3.888888888888889,3.888888888888889,0.9331578484198817
3.98989898989899,3.98989898989899,0.9373711250365125
4.090909090909091,4.090909090909091,0.944354722955542
4.191919191919192,4.191919191919192,0.9486406337114351
4.292929292929292,4.292929292929292,0.9568120336271932
4.3939393939393945,4.3939393939393945,0.9613521048661386
4.494949494949495,4.494949494949495,0.967603972429516
4.595959595959595,4.595959595959595,0.9725205228884596
4.696969696969697,4.696969696969697,0.9778444749424187
4.797979797979798,4.797979797979798,0.9836464526914005
4.8989898989899,4.8989898989899,0.9887955504105409
5.0,5.0,0.995221978259155
5.1010101010101,5.1010101010101,1.001303928442673
5.202020202020202,5.202020202020202,1.0100402384557037
5.303030303030303,5.303030303030303,1.0196543543879824
5.404040404040404,5.404040404040404,1.0244629116620305
5.505050505050505,5.505050505050505,1.023031195107146
5.6060606060606055,5.6060606060606055,1.0154365938950092
5.707070707070708,5.707070707070708,1.004016920509756
5.808080808080808,5.808080808080808,0.9943624472061702
5.909090909090908,5.909090909090908,0.9883742201866746
6.01010101010101,6.01010101010101,0.9848615911718309
6.111111111111111,6.111111111111111,0.9835580501252755
6.212121212121212,6.212121212121212,0.9860582394469416
6.313131313131313,6.313131313131313,0.9902572979922064
6.4141414141414135,6.4141414141414135,0.9938931753999783
6.515151515151516,6.515151515151516,0.9982766630706564
6.616161616161616,6.616161616161616,1.0020662902004347
6.717171717171717,6.717171717171717,1.0047864395072617
6.818181818181818,6.818181818181818,1.0074736470891341
6.919191919191919,6.919191919191919,1.0096744537840134
7.020202020202021,7.020202020202021,1.0102319399239752
7.121212121212121,7.121212121212121,1.0102868105346228
7.222222222222221,7.222222222222221,1.0100959122001765
7.3232323232323235,7.3232323232323235,1.00864695299832
7.424242424242424,7.424242424242424,1.006498490959331
7.525252525252525,7.525252525252525,1.0053178555619968
7.626262626262626,7.626262626262626,1.003961001706513
7.727272727272727,7.727272727272727,1.0027175096199596
7.828282828282829,7.828282828282829,1.001011738838971
7.929292929292929,7.929292929292929,0.9979482318645989
8.030303030303031,8.030303030303031,0.9978710878270749
8.131313131313131,8.131313131313131,0.9972233782272065
8.232323232323232,8.232323232323232,0.996165049026431
8.333333333333332,8.333333333333332,0.995980338045394
8.434343434343434,8.434343434343434,0.9956433744690579
8.535353535353536,8.535353535353536,0.9955654525548983
8.636363636363637,8.636363636363637,0.9958961854279755
8.737373737373737,8.737373737373737,0.9965127343364647
8.838383838383837,8.838383838383837,0.9978469471521282
8.93939393939394,8.93939393939394,0.9994246842061506
9.04040404040404,9.04040404040404,1.0009356351489755
9.141414141414142,9.141414141414142,1.000838304985265
9.242424242424242,9.242424242424242,1.0016109409623364
9.343434343434343,9.343434343434343,1.0023592754007598
9.444444444444445,9.444444444444445,1.0025025225592468
9.545454545454545,9.545454545454545,1.0023227134529054
9.646464646464647,9.646464646464647,1.0024166479123047
9.747474747474747,9.747474747474747,1.002475861683209
9.848484848484848,9.848484848484848,1.002205675068051
9.94949494949495,9.94949494949495,1.0022600847178105
