vdw,elec,user,dyna,dcd,time,temp,tot,energy,volume,pressi,presse,path,title
3438.50043,-21784.26494,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.0,124.88542,-23070.71879,24559.37358,68921.0,-2485.03432,-2984.0996,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3359.71769,-20988.13586,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,1.0,65.19089,-23065.0155,23842.10162,68921.0,-2091.7376,-1906.37592,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3359.71769,-20988.13586,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,1.0,65.16602,-23065.31188,23842.10162,68921.0,-2091.93416,-1906.37592,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3283.90857,-20936.94612,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,2.0,67.28959,-23065.32973,23867.43271,68921.0,-2462.26445,-2664.81442,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3283.90857,-20936.94612,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,2.0,67.28942,-23065.33172,23867.43271,68921.0,-2462.26573,-2664.81442,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3327.60208,-20994.69049,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,3.0,70.52315,-23065.38612,23906.03373,68921.0,-2181.73665,-1419.05025,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3327.60208,-20994.69049,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,3.0,70.5224,-23065.39508,23906.03373,68921.0,-2181.74263,-1419.05025,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3325.41502,-20992.19168,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,4.0,73.09623,-23065.61427,23936.93342,68921.0,-2251.52174,-1988.66482,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3325.41502,-20992.19168,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,4.0,128.71108,-22402.67603,23936.93342,68921.0,-2055.71184,-1988.66482,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3171.06854,-20480.71816,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,5.0,99.69296,-22399.85616,23588.21277,68921.0,-2360.03373,-2572.38568,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
3171.06854,-20480.71816,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,5.0,99.68743,-22399.92208,23588.21277,68921.0,-2360.07724,-2572.38568,/home/boittier/pcbach/sims4/shake/water/k225/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k225_dynamics.log
