vdw,elec,user,dyna,dcd,time,temp,tot,energy,volume,pressi,presse,path,title
2089.50513,-19820.06947,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.0,122.51061,-19677.57884,21868.28148,68921.0,-2154.47075,-3523.23539,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1861.3029,-18834.31634,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.1,60.31607,-19674.71263,20753.2688,68921.0,-3224.19094,-3225.46624,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1861.3029,-18834.31634,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.1,60.31102,-19674.80299,20753.2688,68921.0,-3224.25087,-3225.46624,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1928.85569,-18954.50079,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.2,54.72103,-19673.8636,20652.37082,68921.0,-3841.18071,-2647.20806,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1928.85569,-18954.50079,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.2,54.72102,-19673.86383,20652.37082,68921.0,-3841.18087,-2647.20806,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1970.57212,-19044.62122,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.3,64.71394,-19675.40107,20832.59889,68921.0,-4004.20189,-3069.92268,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1970.57212,-19044.62122,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.3,64.71393,-19675.40125,20832.59889,68921.0,-4004.202,-3069.92268,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1961.23009,-19057.0193,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.4,68.10803,-19675.74556,20893.63545,68921.0,-3999.38574,-2933.92032,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1961.23009,-19057.0193,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.4,133.30967,-18509.82678,20893.63545,68921.0,-3226.08468,-2933.92032,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
1896.64469,-18605.46533,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.5,97.15034,-18507.89606,20245.11303,68921.0,-3834.42036,-2611.0765,/home/boittier/pcbach/sims4/mdcm/water/k225/dynamics.log,_home_boittier_pcbach_sims4_mdcm_water_k225_dynamics.log
