,rmse,pkl,class,alpha,uuid,l2,type
17,0.4880371382097273,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_64_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
18,0.5146803427806937,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_57_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
19,0.5104188579437966,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_7_2.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
20,0.5087073307862202,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_48_0.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
21,0.4972878260826024,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_19_4.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
22,0.5049024824257629,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_15_3.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
23,0.49861637394710906,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_2_3.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
24,0.4964539979345381,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_48_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
25,0.494729953707431,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_15_1.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
26,0.49061219434249903,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_6_4.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
27,0.5153903563176545,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_11_3.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
28,0.5137513386851826,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_48_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
